Sample | Search | Binary          | Classic
212    | 96123  | 0.00352         | 2.86225
213    | 283986 | 0.00383         | 7.10253
214    | 325881 | 0.00352         | 6.59643
215    | 99090  | 0.00300         | 1.92574
216    | 197144 | 0.00267         | 3.82306
217    | 357964 | 0.00316         | 6.89348
218    | 281003 | 0.00308         | 5.44311
219    | 224231 | 0.00268         | 4.38907
220    | 67453  | 0.00303         | 1.32589
221    | 178816 | 0.00296         | 3.53764
222    | 281612 | 0.00291         | 5.59351
223    | 302941 | 0.00314         | 6.05459
224    | 35362  | 0.00330         | 0.70931
225    | 157080 | 0.00324         | 3.16519
226    | 417403 | 0.00272         | 8.49303
227    | 356766 | 0.00303         | 7.26053
228    | 398832 | 0.00307         | 8.12191
229    | 25672  | 0.00257         | 0.52018
230    | 384052 | 0.00269         | 7.88675
231    | 93117  | 0.00343         | 2.02954
232    | 301384 | 0.00432         | 17.20121
233    | 365516 | 0.02491         | 69.41506
234    | 363679 | 0.00933         | 13.98725
235    | 194579 | 0.00292         | 5.04979
236    | 243555 | 0.00401         | 5.42541
237    | 112684 | 0.00349         | 2.25241
238    | 200343 | 0.00302         | 3.89410
239    | 334499 | 0.00289         | 6.44910
240    | 101726 | 0.00319         | 2.00532
241    | 300580 | 0.00285         | 5.81555
242    | 297168 | 0.00319         | 5.73679
243    | 106030 | 0.00301         | 2.06601
244    | 15920  | 0.00303         | 0.31044
245    | 224713 | 0.00329         | 4.37710
246    | 476178 | 0.00319         | 9.30170
247    | 237987 | 0.00267         | 4.73071
248    | 345943 | 0.00315         | 6.86907
249    | 373850 | 0.00319         | 7.50674
250    | 368634 | 0.00316         | 7.36503
